Timestamp,Memory Usage (%)
2024-01-07 00:57:43,45.69GB,1
2024-01-07 00:58:43,45.69GB,1
2024-01-07 00:59:43,45.69GB,1
2024-01-07 01:00:43,45.70GB,1
2024-01-07 01:01:43,45.70GB,1
2024-01-07 01:02:43,45.69GB,1
2024-01-07 01:03:43,45.69GB,1
2024-01-07 01:04:43,45.69GB,1
2024-01-07 01:05:43,45.69GB,1
2024-01-07 01:06:43,45.70GB,1
2024-01-07 01:07:43,45.70GB,1
2024-01-07 01:08:43,45.70GB,1
2024-01-07 01:09:43,45.70GB,1
2024-01-07 01:10:43,45.70GB,1
2024-01-07 01:11:43,45.70GB,1
2024-01-07 01:12:43,45.70GB,1
2024-01-07 01:13:43,45.70GB,1
2024-01-07 01:14:43,45.71GB,1
2024-01-07 01:15:43,45.70GB,1
2024-01-07 01:16:43,45.70GB,1
2024-01-07 01:17:43,45.70GB,1
2024-01-07 01:18:43,45.70GB,1
2024-01-07 01:19:43,45.70GB,1
2024-01-07 01:20:43,45.70GB,1
2024-01-07 01:21:43,45.69GB,1
2024-01-07 01:22:43,45.70GB,1
2024-01-07 01:23:43,45.69GB,1
2024-01-07 01:24:43,45.69GB,1
2024-01-07 01:25:43,45.69GB,1
2024-01-07 01:26:43,45.70GB,1
2024-01-07 01:27:43,45.70GB,1
2024-01-07 01:28:43,45.70GB,1
2024-01-07 01:29:43,45.70GB,1
2024-01-07 01:30:43,45.69GB,1
2024-01-07 01:31:43,45.70GB,1
2024-01-07 01:32:43,45.70GB,1
2024-01-07 01:33:43,45.70GB,1
2024-01-07 01:34:43,45.70GB,1
2024-01-07 01:35:43,45.70GB,1
2024-01-07 01:36:43,45.69GB,1
2024-01-07 01:37:43,45.69GB,1
2024-01-07 01:38:43,45.69GB,1
2024-01-07 01:39:43,45.70GB,1
2024-01-07 01:40:43,45.70GB,1
2024-01-07 01:41:43,45.70GB,1
2024-01-07 01:42:43,45.69GB,1
2024-01-07 01:43:43,45.68GB,1
2024-01-07 01:44:43,45.67GB,1
2024-01-07 01:45:43,45.67GB,1
2024-01-07 01:46:43,45.67GB,1
2024-01-07 01:47:43,45.68GB,1
2024-01-07 01:48:43,45.68GB,1
2024-01-07 01:49:43,45.68GB,1
2024-01-07 01:50:43,45.68GB,1
2024-01-07 01:51:43,45.67GB,1
2024-01-07 01:52:43,45.67GB,1
2024-01-07 01:53:43,45.67GB,1
2024-01-07 01:54:43,45.67GB,1
2024-01-07 01:55:43,45.67GB,1
2024-01-07 01:56:43,45.68GB,1
2024-01-07 01:57:43,45.68GB,1
2024-01-07 01:58:43,45.67GB,1
2024-01-07 01:59:43,45.67GB,1
2024-01-07 02:00:43,45.67GB,1
2024-01-07 02:01:43,45.67GB,1
2024-01-07 02:02:43,45.67GB,1
2024-01-07 02:03:43,45.67GB,1
2024-01-07 02:04:43,45.67GB,1
2024-01-07 02:05:43,45.67GB,1
2024-01-07 02:06:43,45.67GB,1
2024-01-07 02:07:43,45.66GB,1
2024-01-07 02:08:43,45.66GB,1
2024-01-07 02:09:43,45.66GB,1
2024-01-07 02:10:43,45.66GB,1
2024-01-07 02:11:43,45.66GB,1
2024-01-07 02:12:43,45.66GB,1
2024-01-07 02:13:43,45.66GB,1
2024-01-07 02:14:43,45.66GB,1
2024-01-07 02:15:43,45.65GB,1
2024-01-07 02:16:43,45.65GB,1
2024-01-07 02:17:43,45.66GB,1
2024-01-07 02:18:43,45.66GB,1
2024-01-07 02:19:43,45.66GB,1
2024-01-07 02:20:43,45.66GB,1
2024-01-07 02:21:43,45.66GB,1
2024-01-07 02:22:43,45.66GB,1
2024-01-07 02:23:43,45.66GB,1
2024-01-07 02:24:43,45.66GB,1
2024-01-07 02:25:43,45.65GB,1
2024-01-07 02:26:43,45.65GB,1
2024-01-07 02:27:43,45.65GB,1
2024-01-07 02:28:43,45.65GB,1
2024-01-07 02:29:43,45.65GB,1
2024-01-07 02:30:43,45.66GB,1
2024-01-07 02:31:43,45.66GB,1
2024-01-07 02:32:43,45.66GB,1
2024-01-07 02:33:43,45.66GB,1
2024-01-07 02:34:43,45.66GB,1
2024-01-07 02:35:43,45.66GB,1
2024-01-07 02:36:43,45.66GB,1
2024-01-07 02:37:43,45.65GB,1
2024-01-07 02:38:43,45.65GB,1
2024-01-07 02:39:43,45.65GB,1
2024-01-07 02:40:43,45.66GB,1
2024-01-07 02:41:43,45.65GB,1
2024-01-07 02:42:43,45.66GB,1
2024-01-07 02:43:43,45.66GB,1
2024-01-07 02:44:43,45.67GB,1
2024-01-07 02:45:43,45.65GB,1
2024-01-07 02:46:43,45.66GB,1
2024-01-07 02:47:43,45.66GB,1
2024-01-07 02:48:43,45.66GB,1
2024-01-07 02:49:43,45.66GB,1
2024-01-07 02:50:43,45.66GB,1
2024-01-07 02:51:43,45.66GB,1
2024-01-07 02:52:43,45.66GB,1
2024-01-07 02:53:43,45.66GB,1
2024-01-07 02:54:43,45.65GB,1
2024-01-07 02:55:43,45.65GB,1
2024-01-07 02:56:43,45.66GB,1
2024-01-07 02:57:43,45.66GB,1
